,Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,date,time_extracted,Day,Month,Year
0,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6672567125560790,2020-06-30 21:09:00+00:00,365.0,4.0,0.010958904,0.0,0,1.0,2.0,0,0,1,0.0,0.0,2020-06-30,21:09,30,6,2020
1,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8265456713789040,2020-06-30 17:14:00+00:00,184.0,2.0,0.010869565,0.0,0,2.0,0.0,0,0,0,0.0,0.0,2020-06-30,17:14,30,6,2020
2,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,281117346800427,2020-06-30 16:59:00+00:00,2644.0,46.0,0.017397882,1.0,1,17.0,0.0,3,0,23,354.0,1.0,2020-06-30,16:59,30,6,2020
3,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7758025943576750,2020-06-30 13:55:00+00:00,301.0,3.0,0.009966777,0.0,1,2.0,0.0,0,0,0,0.0,0.0,2020-06-30,13:55,30,6,2020
4,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6131837006729570,2020-06-30 12:13:00+00:00,528.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-30,12:13,30,6,2020
5,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7158204930285070,2020-06-30 12:06:00+00:00,962.0,37.0,0.038461538,0.0,2,7.0,6.0,0,3,19,0.0,0.0,2020-06-30,12:06,30,6,2020
6,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8412656725709000,2020-06-30 11:29:00+00:00,198.0,4.0,0.02020202,0.0,0,1.0,1.0,0,0,2,0.0,0.0,2020-06-30,11:29,30,6,2020
7,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1697739445805240,2020-06-30 11:20:00+00:00,1298.0,28.0,0.021571649,0.0,2,3.0,0.0,0,3,20,0.0,0.0,2020-06-30,11:20,30,6,2020
8,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5739997848071200,2020-06-30 11:04:00+00:00,160.0,3.0,0.01875,0.0,1,1.0,0.0,0,0,1,27.0,0.0,2020-06-30,11:04,30,6,2020
9,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7941923809016870,2020-06-30 11:01:00+00:00,1080.0,25.0,0.023148148,0.0,2,7.0,0.0,2,2,9,191.0,3.0,2020-06-30,11:01,30,6,2020
10,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3509986223088250,2020-06-30 10:53:00+00:00,477.0,19.0,0.039832285,0.0,0,1.0,0.0,0,1,4,13.0,13.0,2020-06-30,10:53,30,6,2020
11,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5002403674659650,2020-06-30 10:53:00+00:00,295.0,5.0,0.016949153,0.0,1,2.0,0.0,0,0,2,0.0,0.0,2020-06-30,10:53,30,6,2020
12,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8684148510211990,2020-06-30 10:51:00+00:00,77.0,2.0,0.025974026,0.0,1,1.0,0.0,0,0,0,0.0,0.0,2020-06-30,10:51,30,6,2020
13,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,142743288016432,2020-06-30 10:27:00+00:00,185.0,7.0,0.037837838,0.0,0,1.0,0.0,0,0,6,0.0,0.0,2020-06-30,10:27,30,6,2020
14,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8250842529050670,2020-06-30 10:24:00+00:00,854.0,16.0,0.018735363,0.0,2,3.0,2.0,0,5,4,0.0,0.0,2020-06-30,10:24,30,6,2020
15,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5013146680806650,2020-06-30 10:09:00+00:00,289.0,4.0,0.01384083,0.0,1,2.0,0.0,1,0,0,56.0,0.0,2020-06-30,10:09,30,6,2020
16,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1585048493828760,2020-06-30 09:56:00+00:00,1449.0,65.0,0.044858523,0.0,1,19.0,4.0,3,1,3,34.0,34.0,2020-06-30,09:56,30,6,2020
